Mouse_Tissue_ID,Experiment,bc1_well,well_type,Tissue,Genotype,Protocol,Chemistry,Multiplexed_sample1,Multiplexed_sample2,Row,Column,SampleType,Sex,Age,Notes,DOB,Age_days,Body_weight_g,Estrus_cycle,Dissection_date,Dissection_time,ZT,Dissector,Tissue_weight_mg
030_AJ_10F_03,igvf_003,C5,Single,CortexHippocampus,AJ,Parse_WT_Mega,v2,NA,NA,C,5,Nuclei,Female,PNM_02,NA,7/26/22,69,23.9,Metestrus,10/3/22,10:30 ,ZT4,SK,119
033_AJ_10M_03,igvf_003,C6,Single,CortexHippocampus,AJ,Parse_WT_Mega,v2,NA,NA,C,6,Nuclei,Male,PNM_02,NA,7/26/22,69,23.7,NA,10/3/22,13:00 ,ZT6.5,SK,110
032_AJ_10F_03,igvf_003,C7,Single,CortexHippocampus,AJ,Parse_WT_Mega,v2,NA,NA,C,7,Nuclei,Female,PNM_02,NA,7/26/22,69,25,Estrus,10/3/22,11:00 ,ZT4.5,SK,122
035_AJ_10M_03,igvf_003,C8,Single,CortexHippocampus,AJ,Parse_WT_Mega,v2,NA,NA,C,8,Nuclei,Male,PNM_02,NA,7/26/22,69,26.5,NA,10/3/22,13:20 ,ZT7,SK,116
076_PWKJ_10F_03,igvf_003,D1,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,1,Nuclei,Female,PNM_02,NA,8/16/22,69,13.2,Estrus,10/24/22,9:32 ,ZT3,SK,94
077_PWKJ_10M_03,igvf_003,D2,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,2,Nuclei,Male,PNM_02,NA,8/16/22,69,16.6,NA,10/24/22,11:21 ,ZT5,SK,110
078_PWKJ_10F_03,igvf_003,D3,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,3,Nuclei,Female,PNM_02,NA,8/16/22,69,13.6,Estrus,10/24/22,9:58 ,ZT3.5,SK,114
079_PWKJ_10M_03,igvf_003,D4,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,4,Nuclei,Male,PNM_02,NA,8/16/22,69,13.7,NA,10/24/22,11:47 ,ZT5.5,SK,109
080_PWKJ_10F_03,igvf_003,D5,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,5,Nuclei,Female,PNM_02,NA,8/16/22,69,13.6,Estrus,10/24/22,10:23 ,ZT4,SK,104
081_PWKJ_10M_03,igvf_003,D6,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,6,Nuclei,Male,PNM_02,NA,8/16/22,69,15.1,NA,10/24/22,12:15 ,ZT6,SK,103
084_PWKJ_10F_03,igvf_003,D7,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,7,Nuclei,Female,PNM_02,NA,9/13/22,69,13.9,Proestrus,11/21/22,10:31 ,ZT4,SK,NA
085_PWKJ_10M_03,igvf_003,D8,Single,CortexHippocampus,PWKJ,Parse_WT_Mega,v2,NA,NA,D,8,Nuclei,Male,PNM_02,NA,9/13/22,69,17.1,NA,11/21/22,11:05 ,ZT4.5,SK,NA
036_129S1J_10F_03,igvf_003,E1,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,1,Nuclei,Female,PNM_02,NA,7/26/22,72,19.5,Diestrus,10/6/22,8:30 ,ZT2,SK,114
037_129S1J_10M_03,igvf_003,E2,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,2,Nuclei,Male,PNM_02,NA,7/26/22,72,24.5,NA,10/6/22,10:40 ,ZT4,SK,126
038_129S1J_10F_03,igvf_003,E3,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,3,Nuclei,Female,PNM_02,NA,7/26/22,72,21.1,Diestrus,10/6/22,9:00 ,ZT2.5,SK,131
041_129S1J_10M_03,igvf_003,E4,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,4,Nuclei,Male,PNM_02,NA,7/26/22,72,25.5,NA,10/6/22,11:20 ,ZT5,SK,123
040_129S1J_10F_03,igvf_003,E5,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,5,Nuclei,Female,PNM_02,NA,7/26/22,72,20.5,Diestrus,10/6/22,9:30 ,ZT3,SK,131
043_129S1J_10M_03,igvf_003,E6,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,6,Nuclei,Male,PNM_02,NA,7/26/22,72,25,NA,10/6/22,11:40 ,ZT5,SK,131
044_129S1J_10F_03,igvf_003,E7,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,7,Nuclei,Female,PNM_02,NA,7/26/22,72,20.6,Diestrus,10/6/22,10:20 ,ZT4,SK,118
045_129S1J_10M_03,igvf_003,E8,Single,CortexHippocampus,129S1J,Parse_WT_Mega,v2,NA,NA,E,8,Nuclei,Male,PNM_02,NA,7/26/22,72,24.8,NA,10/6/22,12:00 ,ZT5.5,SK,135
086_CASTJ_10F_03,igvf_003,F1,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,1,Nuclei,Female,PNM_02,NA,8/2/22,69,11.8,Diestrus,10/10/22,9:30 ,ZT3,SK,128
087_CASTJ_10M_03,igvf_003,F2,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,2,Nuclei,Male,PNM_02,NA,8/9/22,69,15.2,NA,10/17/22,12:57 ,ZT6.5,SK,120
088_CASTJ_10F_03,igvf_003,F3,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,3,Nuclei,Female,PNM_02,NA,8/2/22,69,13,Diestrus,10/10/22,10:00 ,ZT3.5,SK,125
089_CASTJ_10M_03,igvf_003,F4,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,4,Nuclei,Male,PNM_02,NA,8/9/22,69,15.8,NA,10/17/22,13:43 ,ZT7,SK,123
090_CASTJ_10F_03,igvf_003,F5,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,5,Nuclei,Female,PNM_02,NA,8/2/22,69,12.4,Diestrus,10/10/22,10:30 ,ZT4,SK,113
091_CASTJ_10M_03,igvf_003,F6,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,6,Nuclei,Male,PNM_02,NA,8/9/22,72,16.4,NA,10/20/22,12:38 ,ZT6,SK,147
094_CASTJ_10F_03,igvf_003,F7,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,7,Nuclei,Female,PNM_02,NA,8/16/22,69,13.6,Diestrus,10/24/22,10:48 ,ZT4.5,SK,117
093_CASTJ_10M_03,igvf_003,F8,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,F,8,Nuclei,Male,PNM_02,NA,8/9/22,72,16.6,NA,10/20/22,13:05 ,ZT6.5,SK,117
058_WSBJ_10F_03,igvf_003,G1,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,1,Nuclei,Female,PNM_02,NA,8/9/22,69,12.9,NA,10/17/22,9:46 ,ZT3.5,SK,111
057_WSBJ_10M_03,igvf_003,G2,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,2,Nuclei,Male,PNM_02,NA,8/9/22,69,15.8,NA,10/17/22,11:07 ,ZT4.5,SK,114
060_WSBJ_10F_03,igvf_003,G3,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,3,Nuclei,Female,PNM_02,NA,8/9/22,69,12.5,NA,10/17/22,10:14 ,ZT3.5,SK,121
059_WSBJ_10M_03,igvf_003,G4,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,4,Nuclei,Male,PNM_02,NA,8/9/22,69,16.9,NA,10/17/22,11:28 ,ZT5,SK,128
062_WSBJ_10F_03,igvf_003,G5,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,5,Nuclei,Female,PNM_02,NA,8/9/22,69,12.8,NA,10/17/22,10:38 ,ZT4,SK,122
061_WSBJ_10M_03,igvf_003,G6,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,6,Nuclei,Male,PNM_02,NA,8/9/22,69,15.7,NA,10/17/22,12:10 ,ZT5.5,SK,122
096_WSBJ_10F_03,igvf_003,G7,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,7,Nuclei,Female,PNM_02,NA,8/23/22,69,12.2,Metestrus,10/31/22,10:35 ,ZT4,SK,120
063_WSBJ_10M_03,igvf_003,G8,Single,CortexHippocampus,WSBJ,Parse_WT_Mega,v2,NA,NA,G,8,Nuclei,Male,PNM_02,NA,8/9/22,69,15.5,NA,10/17/22,12:31 ,ZT6,SK,132
092_CASTJ_10F_03,igvf_003,H1,Single,CortexHippocampus,CASTJ,Parse_WT_Mega,v2,NA,NA,H,1,Nuclei,Female,PNM_02,Sample_swap,8/2/22,69,12.7,Diestrus,10/10/22,11:00 ,ZT4.5,SK,150
047_NZOJ_10M_03,igvf_003,H2,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,2,Nuclei,Male,PNM_02,NA,8/2/22,69,42.8,NA,10/10/22,14:30 ,ZT8,SK,130
048_NZOJ_10F_03,igvf_003,H3,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,3,Nuclei,Female,PNM_02,NA,8/2/22,69,44.9,Diestrus,10/10/22,11:30 ,ZT5,SK,124
049_NZOJ_10M_03,igvf_003,H4,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,4,Nuclei,Male,PNM_02,NA,8/2/22,69,42.4,NA,10/10/22,15:00 ,ZT8.5,SK,125
050_NZOJ_10F_03,igvf_003,H5,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,5,Nuclei,Female,PNM_02,NA,8/2/22,69,41.8,Estrus,10/10/22,12:00 ,ZT5.5,SK,122
051_NZOJ_10M_03,igvf_003,H6,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,6,Nuclei,Male,PNM_02,NA,8/2/22,69,45.5,NA,10/10/22,15:30 ,ZT9,SK,112
052_NZOJ_10F_03,igvf_003,H7,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,7,Nuclei,Female,PNM_02,NA,8/2/22,69,40.2,Estrus,10/10/22,12:30 ,ZT6,SK,127
053_NZOJ_10M_03,igvf_003,H8,Single,CortexHippocampus,NZOJ,Parse_WT_Mega,v2,NA,NA,H,8,Nuclei,Male,PNM_02,NA,8/2/22,69,42.4,NA,10/10/22,16:00 ,ZT9.5,SK,119
AB_M1_06,igvf_003,A10,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,017_B6J_10M_06,067_NODJ_10M_06,A,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_F2_06,igvf_003,A11,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,018_B6J_10F_06,068_NODJ_10F_06,A,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_M2_06,igvf_003,A12,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,019_B6J_10M_06,069_NODJ_10M_06,A,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_F1_06,igvf_003,A9,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,016_B6J_10F_06,066_NODJ_10F_06,A,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_M3_06,igvf_003,B10,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,021_B6J_10M_06,071_NODJ_10M_06,B,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_F4_06,igvf_003,B11,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,024_B6J_10F_06,072_NODJ_10F_06,B,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_M4_06,igvf_003,B12,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,025_B6J_10M_06,073_NODJ_10M_06,B,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
AB_F3_06,igvf_003,B9,Multiplexed,Heart,B6J/NODJ,Parse_WT_Mega,v2,020_B6J_10F_06,070_NODJ_10F_06,B,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_M1_06,igvf_003,C10,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,029_AJ_10M_06,077_PWKJ_10M_06,C,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_F2_06,igvf_003,C11,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,028_AJ_10F_06,078_PWKJ_10F_06,C,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_M2_06,igvf_003,C12,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,031_AJ_10M_06,079_PWKJ_10M_06,C,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_F1_06,igvf_003,C9,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,026_AJ_10F_06,076_PWKJ_10F_06,C,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_M3_06,igvf_003,D10,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,033_AJ_10M_06,081_PWKJ_10M_06,D,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_F4_06,igvf_003,D11,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,032_AJ_10F_06,084_PWKJ_10F_06,D,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_M4_06,igvf_003,D12,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,035_AJ_10M_06,085_PWKJ_10M_06,D,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
CD_F3_06,igvf_003,D9,Multiplexed,Heart,AJ/PWKJ,Parse_WT_Mega,v2,030_AJ_10F_06,080_PWKJ_10F_06,D,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_M1_06,igvf_003,E10,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,037_129S1J_10M_06,087_CASTJ_10M_06,E,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_F2_06,igvf_003,E11,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,038_129S1J_10F_06,088_CASTJ_10F_06,E,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_M2_06,igvf_003,E12,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,041_129S1J_10M_06,089_CASTJ_10M_06,E,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_F1_06,igvf_003,E9,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,036_129S1J_10F_06,086_CASTJ_10F_06,E,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_M3_06,igvf_003,F10,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,043_129S1J_10M_06,091_CASTJ_10M_06,F,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_F4_06,igvf_003,F11,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,044_129S1J_10F_06,094_CASTJ_10F_06,F,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_M4_06,igvf_003,F12,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,045_129S1J_10M_06,093_CASTJ_10M_06,F,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
EF_F3_06,igvf_003,F9,Multiplexed,Heart,129S1J/CASTJ,Parse_WT_Mega,v2,040_129S1J_10F_06,090_CASTJ_10F_06,F,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_M1_06,igvf_003,G10,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,057_WSBJ_10M_06,047_NZOJ_10M_06,G,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_F2_06,igvf_003,G11,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,060_WSBJ_10F_06,048_NZOJ_10F_06,G,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_M2_06,igvf_003,G12,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,059_WSBJ_10M_06,049_NZOJ_10M_06,G,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_F1_06,igvf_003,G9,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,058_WSBJ_10F_06,046_NZOJ_10F_06,G,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_M3_06,igvf_003,H10,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,061_WSBJ_10M_06,051_NZOJ_10M_06,H,10,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_F4_06,igvf_003,H11,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,096_WSBJ_10F_06,052_NZOJ_10F_06,H,11,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_M4_06,igvf_003,H12,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,063_WSBJ_10M_06,053_NZOJ_10M_06,H,12,Nuclei,Male,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
GH_F3_06,igvf_003,H9,Multiplexed,Heart,WSBJ/NZOJ,Parse_WT_Mega,v2,062_WSBJ_10F_06,050_NZOJ_10F_06,H,9,Nuclei,Female,PNM_02,NA,NA,NA,NA,NA,NA,NA,NA,GM,NA
016_B6J_10F_06,igvf_004,A1,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,1,Nuclei,Female,PNM_02,NA,8/16/22,72,21.1,Diestrus,10/27/22,9:01 ,ZT2.5,GM,129
017_B6J_10M_06,igvf_004,A2,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,2,Nuclei,Male,PNM_02,NA,8/16/22,72,26.3,NA,10/27/22,11:44 ,ZT5,GM,189
018_B6J_10F_06,igvf_004,A3,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,3,Nuclei,Female,PNM_02,NA,8/16/22,72,21,Proestrus,10/27/22,9:38 ,ZT3,GM,150
019_B6J_10M_06,igvf_004,A4,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,4,Nuclei,Male,PNM_02,NA,8/16/22,72,29,NA,10/27/22,12:12 ,ZT5.5,GM,174
020_B6J_10F_06,igvf_004,A5,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,5,Nuclei,Female,PNM_02,NA,8/16/22,72,18.5,Diestrus,10/27/22,10:14 ,ZT3.5,GM,112
021_B6J_10M_06,igvf_004,A6,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,6,Nuclei,Male,PNM_02,NA,8/16/22,72,27.8,NA,10/27/22,12:38 ,ZT6,GM,164
024_B6J_10F_06,igvf_004,A7,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,7,Nuclei,Female,PNM_02,NA,8/16/22,72,20.7,Estrus,10/27/22,11:13 ,ZT4.5,GM,118
025_B6J_10M_06,igvf_004,A8,Single,Heart,B6J,Parse_WT_Mega,v2,NA,NA,A,8,Nuclei,Male,PNM_02,NA,8/16/22,72,27.7,NA,10/27/22,13:39 ,ZT7,GM,163
066_NODJ_10F_06,igvf_004,B1,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,1,Nuclei,Female,PNM_02,NA,8/9/22,72,15.8,Proestrus,10/20/22,9:07 ,ZT2.5,GM,103
067_NODJ_10M_06,igvf_004,B2,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,2,Nuclei,Male,PNM_02,NA,8/9/22,72,26,NA,10/20/22,10:42 ,ZT4,GM,138
068_NODJ_10F_06,igvf_004,B3,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,3,Nuclei,Female,PNM_02,NA,8/9/22,72,20,Metestrus,10/20/22,9:29 ,ZT3,GM,110
069_NODJ_10M_06,igvf_004,B4,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,4,Nuclei,Male,PNM_02,NA,8/9/22,72,25.5,NA,10/20/22,11:10 ,ZT4.5,GM,149
070_NODJ_10F_06,igvf_004,B5,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,5,Nuclei,Female,PNM_02,NA,8/9/22,72,21,Metestrus,10/20/22,9:54 ,ZT3.5,GM,115
071_NODJ_10M_06,igvf_004,B6,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,6,Nuclei,Male,PNM_02,NA,8/9/22,72,26,NA,10/20/22,11:36 ,ZT5,GM,141
072_NODJ_10F_06,igvf_004,B7,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,7,Nuclei,Female,PNM_02,NA,8/9/22,72,16.4,Metestrus,10/20/22,10:18 ,ZT4,GM,123
073_NODJ_10M_06,igvf_004,B8,Single,Heart,NODJ,Parse_WT_Mega,v2,NA,NA,B,8,Nuclei,Male,PNM_02,NA,8/9/22,72,27.6,NA,10/20/22,12:02 ,ZT5.5,GM,153
026_AJ_10F_06,igvf_004,C1,Single,Heart,AJ,Parse_WT_Mega,v2,NA,NA,C,1,Nuclei,Female,PNM_02,NA,7/26/22,69,23.8,Estrus,10/3/22,9:30 ,ZT3,GM,140
